"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-3476","3DS","cvelistV5/cves/2026/3xxx/CVE-2026-3476.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3476","3DS","cvelistV5/cves/2026/3xxx/CVE-2026-3476.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2101","3DS","cvelistV5/cves/2026/2xxx/CVE-2026-2101.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2101","3DS","cvelistV5/cves/2026/2xxx/CVE-2026-2101.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2101","3DS","cvelistV5/cves/2026/2xxx/CVE-2026-2101.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2101","3DS","cvelistV5/cves/2026/2xxx/CVE-2026-2101.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2101","3DS","cvelistV5/cves/2026/2xxx/CVE-2026-2101.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1335","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1335.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1335","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1335.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1334","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1334.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1334","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1334.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1333","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1333.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1333","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1333.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1284","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1284.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1284","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1284.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1283","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1283.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1283","3DS","cvelistV5/cves/2026/1xxx/CVE-2026-1283.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12956","3DS","cvelistV5/cves/2025/12xxx/CVE-2025-12956.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12956","3DS","cvelistV5/cves/2025/12xxx/CVE-2025-12956.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12956","3DS","cvelistV5/cves/2025/12xxx/CVE-2025-12956.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12956","3DS","cvelistV5/cves/2025/12xxx/CVE-2025-12956.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12956","3DS","cvelistV5/cves/2025/12xxx/CVE-2025-12956.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10559","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10559.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10559","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10559.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10559","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10559.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10559","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10559.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10558","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10558.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10558","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10558.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10557","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10557.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10557","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10557.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10557","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10557.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10557","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10557.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10557","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10557.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10556","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10556.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10556","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10556.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10556","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10556.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10556","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10556.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10555","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10555.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10555","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10555.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10554","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10554.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10554","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10554.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10554","3DS","cvelistV5/cves/2025/10xxx/CVE-2025-10554.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
