"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-5948","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5948.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5904","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5904.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5903","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5903.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5902","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5902.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5901","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5901.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5901","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5901.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-5900","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5900.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-5900","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5900.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5899","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5899.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5898","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5898.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5897","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5897.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5896","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5896.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5895","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5895.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5894","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5894.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5893","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5893.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5892","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5892.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5891","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5891.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5890","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5890.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5889","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5889.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5873","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5873.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5867","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5867.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5866","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5866.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5865","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5865.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5864","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5864.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5863","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5863.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5862","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5862.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5861","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5861.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5844","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5844.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5842","@huntrdev","cvelistV5/cves/2023/5xxx/CVE-2023-5842.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
