"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-1913","ABB","cvelistV5/cves/2024/1xxx/CVE-2024-1913.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6028","ABB","cvelistV5/cves/2023/6xxx/CVE-2023-6028.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3324","ABB","cvelistV5/cves/2023/3xxx/CVE-2023-3324.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3323","ABB","cvelistV5/cves/2023/3xxx/CVE-2023-3323.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3322","ABB","cvelistV5/cves/2023/3xxx/CVE-2023-3322.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3321","ABB","cvelistV5/cves/2023/3xxx/CVE-2023-3321.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-2876","ABB","cvelistV5/cves/2023/2xxx/CVE-2023-2876.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-2685","ABB","cvelistV5/cves/2023/2xxx/CVE-2023-2685.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1617","ABB","cvelistV5/cves/2023/1xxx/CVE-2023-1617.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0864","ABB","cvelistV5/cves/2023/0xxx/CVE-2023-0864.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0863","ABB","cvelistV5/cves/2023/0xxx/CVE-2023-0863.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0580","ABB","cvelistV5/cves/2023/0xxx/CVE-2023-0580.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0426","ABB","cvelistV5/cves/2023/0xxx/CVE-2023-0426.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0425","ABB","cvelistV5/cves/2023/0xxx/CVE-2023-0425.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0228","ABB","cvelistV5/cves/2023/0xxx/CVE-2023-0228.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-43765","ABB","cvelistV5/cves/2022/43xxx/CVE-2022-43765.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-43764","ABB","cvelistV5/cves/2022/43xxx/CVE-2022-43764.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-43763","ABB","cvelistV5/cves/2022/43xxx/CVE-2022-43763.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-43762","ABB","cvelistV5/cves/2022/43xxx/CVE-2022-43762.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-43761","ABB","cvelistV5/cves/2022/43xxx/CVE-2022-43761.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-26080","ABB","cvelistV5/cves/2022/26xxx/CVE-2022-26080.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-4286","ABB","cvelistV5/cves/2022/4xxx/CVE-2022-4286.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-4126","ABB","cvelistV5/cves/2022/4xxx/CVE-2022-4126.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-3192","ABB","cvelistV5/cves/2022/3xxx/CVE-2022-3192.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-1607","ABB","cvelistV5/cves/2022/1xxx/CVE-2022-1607.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-0010","ABB","cvelistV5/cves/2022/0xxx/CVE-2022-0010.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-22283","ABB","cvelistV5/cves/2021/22xxx/CVE-2021-22283.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-22282","ABB","cvelistV5/cves/2021/22xxx/CVE-2021-22282.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-22281","ABB","cvelistV5/cves/2021/22xxx/CVE-2021-22281.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2020-24682","ABB","cvelistV5/cves/2020/24xxx/CVE-2020-24682.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2020-24681","ABB","cvelistV5/cves/2020/24xxx/CVE-2020-24681.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
