"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-1442","AHA","cvelistV5/cves/2026/1xxx/CVE-2026-1442.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35010","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35010.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35009","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35009.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35008","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35008.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35007","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35007.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35006","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35006.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35005","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35005.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-35004","AHA","cvelistV5/cves/2025/35xxx/CVE-2025-35004.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-32459","AHA","cvelistV5/cves/2025/32xxx/CVE-2025-32459.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-32458","AHA","cvelistV5/cves/2025/32xxx/CVE-2025-32458.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-32457","AHA","cvelistV5/cves/2025/32xxx/CVE-2025-32457.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-32456","AHA","cvelistV5/cves/2025/32xxx/CVE-2025-32456.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-32455","AHA","cvelistV5/cves/2025/32xxx/CVE-2025-32455.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3461","AHA","cvelistV5/cves/2025/3xxx/CVE-2025-3461.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3460","AHA","cvelistV5/cves/2025/3xxx/CVE-2025-3460.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3459","AHA","cvelistV5/cves/2025/3xxx/CVE-2025-3459.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4224","AHA","cvelistV5/cves/2024/4xxx/CVE-2024-4224.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-2905","AHA","cvelistV5/cves/2023/2xxx/CVE-2023-2905.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
