"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-21979","AMD","cvelistV5/cves/2024/21xxx/CVE-2024-21979.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21972","AMD","cvelistV5/cves/2024/21xxx/CVE-2024-21972.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-31347","AMD","cvelistV5/cves/2023/31xxx/CVE-2023-31347.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-31346","AMD","cvelistV5/cves/2023/31xxx/CVE-2023-31346.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-31320","AMD","cvelistV5/cves/2023/31xxx/CVE-2023-31320.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20598","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20598.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20596","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20596.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20592","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20592.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20589","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20589.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20588","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20588.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20587","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20587.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20586","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20586.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20583","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20583.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20579","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20579.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20575","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20575.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20573","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20573.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20571","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20571.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20570","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20570.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20569","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20569.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20565","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20565.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20564","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20564.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20563","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20563.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20562","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20562.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20561","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20561.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20560","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20560.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20559","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20559.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20558","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20558.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20556","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20556.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20555","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20555.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20532","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20532.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20531","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20531.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20530","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20530.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20529","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20529.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20528","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20528.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20527","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20527.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20525","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20525.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20524","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20524.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20523","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20523.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20522","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20522.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20520","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20520.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-20519","AMD","cvelistV5/cves/2023/20xxx/CVE-2023-20519.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-27677","AMD","cvelistV5/cves/2022/27xxx/CVE-2022-27677.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-27672","AMD","cvelistV5/cves/2022/27xxx/CVE-2022-27672.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-23821","AMD","cvelistV5/cves/2022/23xxx/CVE-2022-23821.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-23818","AMD","cvelistV5/cves/2022/23xxx/CVE-2022-23818.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-23814","AMD","cvelistV5/cves/2022/23xxx/CVE-2022-23814.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-23813","AMD","cvelistV5/cves/2022/23xxx/CVE-2022-23813.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46794","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46794.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46792","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46792.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46791","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46791.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46779","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46779.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46775","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46775.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46773","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46773.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46769","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46769.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46768","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46768.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46767","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46767.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46765","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46765.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46764","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46764.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46763","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46763.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46760","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46760.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46759","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46759.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46758","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46758.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46756","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46756.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46755","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46755.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46754","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46754.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46753","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46753.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-46749","AMD","cvelistV5/cves/2021/46xxx/CVE-2021-46749.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26409","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26409.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26407","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26407.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26406","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26406.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26404","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26404.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26403","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26403.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26402","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26402.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26401","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26401.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2021-26398","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26398.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26397","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26397.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26396","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26396.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26379","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26379.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26371","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26371.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26365","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26365.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26356","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26356.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26355","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26355.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26354","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26354.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26343","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26343.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2021-26341","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26341.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2021-26328","AMD","cvelistV5/cves/2021/26xxx/CVE-2021-26328.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
