"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-33045","AMI","cvelistV5/cves/2025/33xxx/CVE-2025-33045.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-33043","AMI","cvelistV5/cves/2025/33xxx/CVE-2025-33043.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-42444","AMI","cvelistV5/cves/2024/42xxx/CVE-2024-42444.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-39539","AMI","cvelistV5/cves/2023/39xxx/CVE-2023-39539.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-39539","AMI","cvelistV5/cves/2023/39xxx/CVE-2023-39539.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-39538","AMI","cvelistV5/cves/2023/39xxx/CVE-2023-39538.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-39538","AMI","cvelistV5/cves/2023/39xxx/CVE-2023-39538.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-37297","AMI","cvelistV5/cves/2023/37xxx/CVE-2023-37297.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-37296","AMI","cvelistV5/cves/2023/37xxx/CVE-2023-37296.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-37295","AMI","cvelistV5/cves/2023/37xxx/CVE-2023-37295.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-37294","AMI","cvelistV5/cves/2023/37xxx/CVE-2023-37294.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-37293","AMI","cvelistV5/cves/2023/37xxx/CVE-2023-37293.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34473","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34473.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34472","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34472.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34471","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34471.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34470","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34470.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34469","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34469.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34345","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34345.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34344","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34344.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34343","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34343.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34342","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34342.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34341","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34341.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34338","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34338.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-34337","AMI","cvelistV5/cves/2023/34xxx/CVE-2023-34337.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
