"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2022-26310","ARTICA","cvelistV5/cves/2022/26xxx/CVE-2022-26310.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-26310","ARTICA","cvelistV5/cves/2022/26xxx/CVE-2022-26310.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-26309","ARTICA","cvelistV5/cves/2022/26xxx/CVE-2022-26309.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-26309","ARTICA","cvelistV5/cves/2022/26xxx/CVE-2022-26309.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-26308","ARTICA","cvelistV5/cves/2022/26xxx/CVE-2022-26308.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-26308","ARTICA","cvelistV5/cves/2022/26xxx/CVE-2022-26308.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-0507","ARTICA","cvelistV5/cves/2022/0xxx/CVE-2022-0507.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-0507","ARTICA","cvelistV5/cves/2022/0xxx/CVE-2022-0507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-46681","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46681.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-46681","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46681.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-46680","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46680.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-46680","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46680.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-46679","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46679.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-46679","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46679.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-46678","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46678.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-46678","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46678.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-46677","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46677.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-46677","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46677.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-46676","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46676.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-46676","ARTICA","cvelistV5/cves/2021/46xxx/CVE-2021-46676.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
