"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-49325","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49325.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-49325","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49325.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-49324","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49324.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-49324","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49324.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-49323","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49323.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-49323","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49323.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-49322","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49322.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-49322","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49322.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-49319","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49319.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-49318","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49318.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-49318","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49318.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-49317","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49317.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2026-49317","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49317.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2026-49316","ASRG","cvelistV5/cves/2026/49xxx/CVE-2026-49316.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
