CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-13051,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2025/13xxx/CVE-2025-13051.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ABP 2.0"
CVE-2025-13051,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2025/13xxx/CVE-2025-13051.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "AES 1.0"
CVE-2025-8070,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8070.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ABP 2.0"
CVE-2025-8070,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8070.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "AES 1.0"
CVE-2023-4475,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2023/4xxx/CVE-2023-4475.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-3699,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3699.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-3698,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3698.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-3697,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3697.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-2910,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2023/2xxx/CVE-2023-2910.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-2749,ASUSTOR1,/home/runner/.cache/cvelint/cvelistV5/cves/2023/2xxx/CVE-2023-2749.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
