"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-50226","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50226.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50226","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50226.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50225","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50225.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50225","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50225.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50224","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50224.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50224","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50224.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50214","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50214.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50214","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50214.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50213","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50213.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50213","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50213.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50212","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50212.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50212","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50212.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50211","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50211.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50211","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50211.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-50210","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50210.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50210","Acer","cvelistV5/cves/2026/50xxx/CVE-2026-50210.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
