"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2022-30994","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30994.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30993","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30993.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30993","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30993.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30992","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30992.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30992","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30992.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30991","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30991.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30991","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30991.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30990","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30990.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30990","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30990.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30697","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30697.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30696","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30696.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-30695","Acronis","cvelistV5/cves/2022/30xxx/CVE-2022-30695.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24115","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24115.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24115","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24115.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24114","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24114.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24114","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24114.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24113","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24113.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24113","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24113.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24113","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24113.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24113","Acronis","cvelistV5/cves/2022/24xxx/CVE-2022-24113.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-0483","Acronis","cvelistV5/cves/2022/0xxx/CVE-2022-0483.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44206","Acronis","cvelistV5/cves/2021/44xxx/CVE-2021-44206.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44206","Acronis","cvelistV5/cves/2021/44xxx/CVE-2021-44206.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44205","Acronis","cvelistV5/cves/2021/44xxx/CVE-2021-44205.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44205","Acronis","cvelistV5/cves/2021/44xxx/CVE-2021-44205.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
