"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2020-10292","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10292.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10291","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10291.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10290","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10290.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10289","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10289.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10288","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10288.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10287","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10287.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10286","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10286.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10285","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10285.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10284","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10284.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10283","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10283.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10282","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10282.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10281","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10281.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10280","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10280.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10279","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10279.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10278","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10278.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10277","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10277.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10276","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10276.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10275","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10275.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10274","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10274.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10273","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10273.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10272","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10272.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10271","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10271.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10270","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10270.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10269","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10269.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10268","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10268.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10267","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10266","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10265","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10264","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-10264","Alias","cvelistV5/cves/2020/10xxx/CVE-2020-10264.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
