"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-58008","Altera","cvelistV5/cves/2026/58xxx/CVE-2026-58008.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-58007","Altera","cvelistV5/cves/2026/58xxx/CVE-2026-58007.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-58006","Altera","cvelistV5/cves/2026/58xxx/CVE-2026-58006.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-58005","Altera","cvelistV5/cves/2026/58xxx/CVE-2026-58005.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-58004","Altera","cvelistV5/cves/2026/58xxx/CVE-2026-58004.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13467","Altera","cvelistV5/cves/2026/13xxx/CVE-2026-13467.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13466","Altera","cvelistV5/cves/2026/13xxx/CVE-2026-13466.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13465","Altera","cvelistV5/cves/2026/13xxx/CVE-2026-13465.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14625","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14625.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14625","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14625.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14614","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14614.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14614","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14614.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14612","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14612.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14605","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14605.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14599","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14599.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14599","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14599.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-14596","Altera","cvelistV5/cves/2025/14xxx/CVE-2025-14596.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13670","Altera","cvelistV5/cves/2025/13xxx/CVE-2025-13670.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13669","Altera","cvelistV5/cves/2025/13xxx/CVE-2025-13669.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13668","Altera","cvelistV5/cves/2025/13xxx/CVE-2025-13668.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13665","Altera","cvelistV5/cves/2025/13xxx/CVE-2025-13665.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13664","Altera","cvelistV5/cves/2025/13xxx/CVE-2025-13664.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13663","Altera","cvelistV5/cves/2025/13xxx/CVE-2025-13663.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
