"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-11431","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11431.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11429","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11429.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11424","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11424.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11423","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11423.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11420","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11420.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11419","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11419.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11414","Altium","cvelistV5/cves/2026/11xxx/CVE-2026-11414.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9152","Altium","cvelistV5/cves/2026/9xxx/CVE-2026-9152.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9129","Altium","cvelistV5/cves/2026/9xxx/CVE-2026-9129.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9102","Altium","cvelistV5/cves/2026/9xxx/CVE-2026-9102.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1181","Altium","cvelistV5/cves/2026/1xxx/CVE-2026-1181.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1011","Altium","cvelistV5/cves/2026/1xxx/CVE-2026-1011.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1010","Altium","cvelistV5/cves/2026/1xxx/CVE-2026-1010.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1009","Altium","cvelistV5/cves/2026/1xxx/CVE-2026-1009.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1008","Altium","cvelistV5/cves/2026/1xxx/CVE-2026-1008.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27380","Altium","cvelistV5/cves/2025/27xxx/CVE-2025-27380.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27379","Altium","cvelistV5/cves/2025/27xxx/CVE-2025-27379.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27378","Altium","cvelistV5/cves/2025/27xxx/CVE-2025-27378.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27377","Altium","cvelistV5/cves/2025/27xxx/CVE-2025-27377.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
