"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-1390","Anolis","cvelistV5/cves/2025/1xxx/CVE-2025-1390.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24864","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24864.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-24864","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24864.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24861","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24861.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24860","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24860.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24859","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24859.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-24859","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24859.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24858","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24858.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24857","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24857.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24856","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24856.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24855","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24855.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-24855","Anolis","cvelistV5/cves/2024/24xxx/CVE-2024-24855.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-23307","Anolis","cvelistV5/cves/2024/23xxx/CVE-2024-23307.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23196","Anolis","cvelistV5/cves/2024/23xxx/CVE-2024-23196.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23196","Anolis","cvelistV5/cves/2024/23xxx/CVE-2024-23196.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22386","Anolis","cvelistV5/cves/2024/22xxx/CVE-2024-22386.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-22386","Anolis","cvelistV5/cves/2024/22xxx/CVE-2024-22386.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-22099","Anolis","cvelistV5/cves/2024/22xxx/CVE-2024-22099.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-21803","Anolis","cvelistV5/cves/2024/21xxx/CVE-2024-21803.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-21803","Anolis","cvelistV5/cves/2024/21xxx/CVE-2024-21803.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-40133","Anolis","cvelistV5/cves/2022/40xxx/CVE-2022-40133.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-38457","Anolis","cvelistV5/cves/2022/38xxx/CVE-2022-38457.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-38096","Anolis","cvelistV5/cves/2022/38xxx/CVE-2022-38096.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36402","Anolis","cvelistV5/cves/2022/36xxx/CVE-2022-36402.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-36280","Anolis","cvelistV5/cves/2022/36xxx/CVE-2022-36280.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-1678","Anolis","cvelistV5/cves/2022/1xxx/CVE-2022-1678.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-1678","Anolis","cvelistV5/cves/2022/1xxx/CVE-2022-1678.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
