CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2024-27889,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2024/27xxx/CVE-2024-27889.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-24548,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24548.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-24548,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24548.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "<=4.22.13M"
CVE-2023-24548,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24548.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "<=4.23.14M"
CVE-2023-24548,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24548.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "<=4.24.11M"
CVE-2023-24548,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24548.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "=4.25.0F"
CVE-2023-24547,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24547.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-24546,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24546.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<2021.1.0, <2021.2.0, <2021.3.0,"
CVE-2023-24546,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24546.json,check-invalid-vendor-string,E008,containers.cna.affected.#.vendor,Invalid vendor string: "n/a"
CVE-2023-24511,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24511.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.27.0 4.27.8.1M"
CVE-2023-24511,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24511.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.26.0 4.26.9M"
CVE-2023-24511,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24511.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.28.0 4.28.5.1M"
CVE-2023-24511,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24511.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.25.0 4.25.10M"
CVE-2023-24511,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24511.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.24.0 4.24.11M"
CVE-2023-24509,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/24xxx/CVE-2023-24509.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "4.23.0 4.23.13M"
CVE-2023-3646,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3646.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThanOrEqual,Invalid version string: "4.28.5.1M "
CVE-2023-3646,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3646.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2021-28501,Arista,/home/runner/.cache/cvelint/cvelistV5/cves/2021/28xxx/CVE-2021-28501.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "1.16.2 0"
