"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-0995","Arm","cvelistV5/cves/2026/0xxx/CVE-2026-0995.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0995","Arm","cvelistV5/cves/2026/0xxx/CVE-2026-0995.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10263","Arm","cvelistV5/cves/2025/10xxx/CVE-2025-10263.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8045","Arm","cvelistV5/cves/2025/8xxx/CVE-2025-8045.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7427","Arm","cvelistV5/cves/2025/7xxx/CVE-2025-7427.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7427","Arm","cvelistV5/cves/2025/7xxx/CVE-2025-7427.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-6349","Arm","cvelistV5/cves/2025/6xxx/CVE-2025-6349.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3212","Arm","cvelistV5/cves/2025/3xxx/CVE-2025-3212.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2879","Arm","cvelistV5/cves/2025/2xxx/CVE-2025-2879.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1246","Arm","cvelistV5/cves/2025/1xxx/CVE-2025-1246.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0932","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0932.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0819","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0819.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0647","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0647.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0427","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0427.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0073","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0073.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0072","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0072.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0050","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0050.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0015","Arm","cvelistV5/cves/2025/0xxx/CVE-2025-0015.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11864","Arm","cvelistV5/cves/2024/11xxx/CVE-2024-11864.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11864","Arm","cvelistV5/cves/2024/11xxx/CVE-2024-11864.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11863","Arm","cvelistV5/cves/2024/11xxx/CVE-2024-11863.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-11863","Arm","cvelistV5/cves/2024/11xxx/CVE-2024-11863.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-10929","Arm","cvelistV5/cves/2024/10xxx/CVE-2024-10929.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-10929","Arm","cvelistV5/cves/2024/10xxx/CVE-2024-10929.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-10929","Arm","cvelistV5/cves/2024/10xxx/CVE-2024-10929.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-9413","Arm","cvelistV5/cves/2024/9xxx/CVE-2024-9413.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7883","Arm","cvelistV5/cves/2024/7xxx/CVE-2024-7883.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7881","Arm","cvelistV5/cves/2024/7xxx/CVE-2024-7881.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6790","Arm","cvelistV5/cves/2024/6xxx/CVE-2024-6790.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.11.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.6.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.13.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.14.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.10.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.9.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.12.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5660","Arm","cvelistV5/cves/2024/5xxx/CVE-2024-5660.json","check-custom-version-type","E011","containers.cna.affected.8.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
