"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-3365","B.Braun","cvelistV5/cves/2025/3xxx/CVE-2025-3365.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3365","B.Braun","cvelistV5/cves/2025/3xxx/CVE-2025-3365.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3322","B.Braun","cvelistV5/cves/2025/3xxx/CVE-2025-3322.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3322","B.Braun","cvelistV5/cves/2025/3xxx/CVE-2025-3322.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3321","B.Braun","cvelistV5/cves/2025/3xxx/CVE-2025-3321.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3321","B.Braun","cvelistV5/cves/2025/3xxx/CVE-2025-3321.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0888","B.Braun","cvelistV5/cves/2023/0xxx/CVE-2023-0888.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-0888","B.Braun","cvelistV5/cves/2023/0xxx/CVE-2023-0888.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0888","B.Braun","cvelistV5/cves/2023/0xxx/CVE-2023-0888.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0888","B.Braun","cvelistV5/cves/2023/0xxx/CVE-2023-0888.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
