"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-1731","BT","cvelistV5/cves/2026/1xxx/CVE-2026-1731.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1731","BT","cvelistV5/cves/2026/1xxx/CVE-2026-1731.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1731","BT","cvelistV5/cves/2026/1xxx/CVE-2026-1731.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1232","BT","cvelistV5/cves/2026/1xxx/CVE-2026-1232.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6250","BT","cvelistV5/cves/2025/6xxx/CVE-2025-6250.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5309","BT","cvelistV5/cves/2025/5xxx/CVE-2025-5309.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2297","BT","cvelistV5/cves/2025/2xxx/CVE-2025-2297.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0889","BT","cvelistV5/cves/2025/0xxx/CVE-2025-0889.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0889","BT","cvelistV5/cves/2025/0xxx/CVE-2025-0889.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0217","BT","cvelistV5/cves/2025/0xxx/CVE-2025-0217.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0217","BT","cvelistV5/cves/2025/0xxx/CVE-2025-0217.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12686","BT","cvelistV5/cves/2024/12xxx/CVE-2024-12686.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12686","BT","cvelistV5/cves/2024/12xxx/CVE-2024-12686.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12356","BT","cvelistV5/cves/2024/12xxx/CVE-2024-12356.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12356","BT","cvelistV5/cves/2024/12xxx/CVE-2024-12356.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12356","BT","cvelistV5/cves/2024/12xxx/CVE-2024-12356.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12356","BT","cvelistV5/cves/2024/12xxx/CVE-2024-12356.json","check-invalid-self-references","E010","containers.cna.references.0.url","Unnecessary self-reference URL: https://www.cve.org/CVERecord?id=CVE-2024-12356"
"CVE-2024-9110","BT","cvelistV5/cves/2024/9xxx/CVE-2024-9110.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-9110","BT","cvelistV5/cves/2024/9xxx/CVE-2024-9110.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5813","BT","cvelistV5/cves/2024/5xxx/CVE-2024-5813.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5813","BT","cvelistV5/cves/2024/5xxx/CVE-2024-5813.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5812","BT","cvelistV5/cves/2024/5xxx/CVE-2024-5812.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5812","BT","cvelistV5/cves/2024/5xxx/CVE-2024-5812.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5812","BT","cvelistV5/cves/2024/5xxx/CVE-2024-5812.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5812","BT","cvelistV5/cves/2024/5xxx/CVE-2024-5812.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4220","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4220.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4220","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4220.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4219","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4219.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4219","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4219.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4018","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4018.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4018","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4018.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4018","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4018.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-4017","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4017.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4017","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4017.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4017","BT","cvelistV5/cves/2024/4xxx/CVE-2024-4017.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1591","BT","cvelistV5/cves/2024/1xxx/CVE-2024-1591.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1591","BT","cvelistV5/cves/2024/1xxx/CVE-2024-1591.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
