CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2024-48974,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/48xxx/CVE-2024-48974.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-48973,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/48xxx/CVE-2024-48973.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-48971,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/48xxx/CVE-2024-48971.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-48970,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/48xxx/CVE-2024-48970.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-48967,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/48xxx/CVE-2024-48967.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-48966,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/48xxx/CVE-2024-48966.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-9834,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/9xxx/CVE-2024-9834.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-9832,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/9xxx/CVE-2024-9832.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "06.08.00.00 and prior"
CVE-2024-6796,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/6xxx/CVE-2024-6796.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "8/30/2024"
CVE-2024-6795,Baxter,/home/runner/.cache/cvelint/cvelistV5/cves/2024/6xxx/CVE-2024-6795.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "8/30/2024"
