"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-1496","BlackDuck","cvelistV5/cves/2026/1xxx/CVE-2026-1496.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1496","BlackDuck","cvelistV5/cves/2026/1xxx/CVE-2026-1496.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0504","BlackDuck","cvelistV5/cves/2025/0xxx/CVE-2025-0504.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0504","BlackDuck","cvelistV5/cves/2025/0xxx/CVE-2025-0504.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54449","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54449.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54449","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54449.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54449","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54449.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-54448","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54448.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-54448","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54448.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54448","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54448.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54447","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54447.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-54447","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54447.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54447","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54447.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54446","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54446.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-54445","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54445.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-54445","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54445.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-54445","BlackDuck","cvelistV5/cves/2024/54xxx/CVE-2024-54445.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12245","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12245.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12021","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12021.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12021","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12021.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12020","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12020.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12019","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12019.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12019","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12019.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-12019","BlackDuck","cvelistV5/cves/2024/12xxx/CVE-2024-12019.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11144","BlackDuck","cvelistV5/cves/2024/11xxx/CVE-2024-11144.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
