"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9264","Bugcrowd","cvelistV5/cves/2026/9xxx/CVE-2026-9264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9057","Bugcrowd","cvelistV5/cves/2026/9xxx/CVE-2026-9057.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9057","Bugcrowd","cvelistV5/cves/2026/9xxx/CVE-2026-9057.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9056","Bugcrowd","cvelistV5/cves/2026/9xxx/CVE-2026-9056.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9056","Bugcrowd","cvelistV5/cves/2026/9xxx/CVE-2026-9056.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7764","Bugcrowd","cvelistV5/cves/2026/7xxx/CVE-2026-7764.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7763","Bugcrowd","cvelistV5/cves/2026/7xxx/CVE-2026-7763.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7762","Bugcrowd","cvelistV5/cves/2026/7xxx/CVE-2026-7762.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6264","Bugcrowd","cvelistV5/cves/2026/6xxx/CVE-2026-6264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6264","Bugcrowd","cvelistV5/cves/2026/6xxx/CVE-2026-6264.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6264","Bugcrowd","cvelistV5/cves/2026/6xxx/CVE-2026-6264.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6264","Bugcrowd","cvelistV5/cves/2026/6xxx/CVE-2026-6264.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6264","Bugcrowd","cvelistV5/cves/2026/6xxx/CVE-2026-6264.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-12792","Bugcrowd","cvelistV5/cves/2025/12xxx/CVE-2025-12792.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8319","Bugcrowd","cvelistV5/cves/2025/8xxx/CVE-2025-8319.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
