"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-45433","CERT-In","cvelistV5/cves/2026/45xxx/CVE-2026-45433.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45432","CERT-In","cvelistV5/cves/2026/45xxx/CVE-2026-45432.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-45431","CERT-In","cvelistV5/cves/2026/45xxx/CVE-2026-45431.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42518","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42518.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42518","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42518.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42517","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42517.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42517","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42517.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42516","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42516","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42516.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42515","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42515.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42515","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42515.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42514","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42514.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42514","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42514.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-42513","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42513.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-42513","CERT-In","cvelistV5/cves/2026/42xxx/CVE-2026-42513.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41039","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41039.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41039","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41039.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41038","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41038.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41038","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41038.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41037","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41037.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-41037","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41037.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41036","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41036.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41036","CERT-In","cvelistV5/cves/2026/41xxx/CVE-2026-41036.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22082","CERT-In","cvelistV5/cves/2026/22xxx/CVE-2026-22082.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22081","CERT-In","cvelistV5/cves/2026/22xxx/CVE-2026-22081.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22080","CERT-In","cvelistV5/cves/2026/22xxx/CVE-2026-22080.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22079","CERT-In","cvelistV5/cves/2026/22xxx/CVE-2026-22079.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9506","CERT-In","cvelistV5/cves/2026/9xxx/CVE-2026-9506.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9274","CERT-In","cvelistV5/cves/2026/9xxx/CVE-2026-9274.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5777","CERT-In","cvelistV5/cves/2026/5xxx/CVE-2026-5777.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55280","CERT-In","cvelistV5/cves/2025/55xxx/CVE-2025-55280.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-55279","CERT-In","cvelistV5/cves/2025/55xxx/CVE-2025-55279.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54465","CERT-In","cvelistV5/cves/2025/54xxx/CVE-2025-54465.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-54464","CERT-In","cvelistV5/cves/2025/54xxx/CVE-2025-54464.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-53758","CERT-In","cvelistV5/cves/2025/53xxx/CVE-2025-53758.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-53757","CERT-In","cvelistV5/cves/2025/53xxx/CVE-2025-53757.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-53756","CERT-In","cvelistV5/cves/2025/53xxx/CVE-2025-53756.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-53755","CERT-In","cvelistV5/cves/2025/53xxx/CVE-2025-53755.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-53754","CERT-In","cvelistV5/cves/2025/53xxx/CVE-2025-53754.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-42605","CERT-In","cvelistV5/cves/2025/42xxx/CVE-2025-42605.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
