"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-53909","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53909.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53908","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53908.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53907","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53907.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53906","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53906.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53905","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53905.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53904","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53904.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53903","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53903.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-53902","CERT-PL","cvelistV5/cves/2026/53xxx/CVE-2026-53902.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-50643","CERT-PL","cvelistV5/cves/2026/50xxx/CVE-2026-50643.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-47325","CERT-PL","cvelistV5/cves/2026/47xxx/CVE-2026-47325.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-47324","CERT-PL","cvelistV5/cves/2026/47xxx/CVE-2026-47324.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-46459","CERT-PL","cvelistV5/cves/2026/46xxx/CVE-2026-46459.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
