"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-41032","CERTVDE","cvelistV5/cves/2026/41xxx/CVE-2026-41032.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41032","CERTVDE","cvelistV5/cves/2026/41xxx/CVE-2026-41032.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41032","CERTVDE","cvelistV5/cves/2026/41xxx/CVE-2026-41032.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-41032","CERTVDE","cvelistV5/cves/2026/41xxx/CVE-2026-41032.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-35225","CERTVDE","cvelistV5/cves/2026/35xxx/CVE-2026-35225.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41743","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41743.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41743","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41743.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41743","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41743.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41712","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41712.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41712","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41712.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41712","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41712.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41712","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41712.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41711","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41711.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41711","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41711.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41711","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41711.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41711","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41711.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41710","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41710.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41710","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41710.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41710","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41710.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41710","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41710.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41709","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41709.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41709","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41709.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41709","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41709.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-41709","CERTVDE","cvelistV5/cves/2025/41xxx/CVE-2025-41709.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-35294","CERTVDE","cvelistV5/cves/2024/35xxx/CVE-2024-35294.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-35293","CERTVDE","cvelistV5/cves/2024/35xxx/CVE-2024-35293.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-28750","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28750.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28749","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28749.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28748","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28748.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28747","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28747.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28137","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28137.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28134","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28134.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-28133","CERTVDE","cvelistV5/cves/2024/28xxx/CVE-2024-28133.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-26005","CERTVDE","cvelistV5/cves/2024/26xxx/CVE-2024-26005.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-26004","CERTVDE","cvelistV5/cves/2024/26xxx/CVE-2024-26004.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-26003","CERTVDE","cvelistV5/cves/2024/26xxx/CVE-2024-26003.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-25999","CERTVDE","cvelistV5/cves/2024/25xxx/CVE-2024-25999.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-25997","CERTVDE","cvelistV5/cves/2024/25xxx/CVE-2024-25997.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
