"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2022-28291","CSW","cvelistV5/cves/2022/28xxx/CVE-2022-28291.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-28290","CSW","cvelistV5/cves/2022/28xxx/CVE-2022-28290.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33853","CSW","cvelistV5/cves/2021/33xxx/CVE-2021-33853.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33852","CSW","cvelistV5/cves/2021/33xxx/CVE-2021-33852.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33851","CSW","cvelistV5/cves/2021/33xxx/CVE-2021-33851.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33850","CSW","cvelistV5/cves/2021/33xxx/CVE-2021-33850.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2021-33849","CSW","cvelistV5/cves/2021/33xxx/CVE-2021-33849.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-29324","CSW","cvelistV5/cves/2020/29xxx/CVE-2020-29324.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-29323","CSW","cvelistV5/cves/2020/29xxx/CVE-2020-29323.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-29322","CSW","cvelistV5/cves/2020/29xxx/CVE-2020-29322.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2020-29321","CSW","cvelistV5/cves/2020/29xxx/CVE-2020-29321.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
