"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-6892","Canon","cvelistV5/cves/2026/6xxx/CVE-2026-6892.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6891","Canon","cvelistV5/cves/2026/6xxx/CVE-2026-6891.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1789","Canon","cvelistV5/cves/2026/1xxx/CVE-2026-1789.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1585","Canon","cvelistV5/cves/2026/1xxx/CVE-2026-1585.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14237","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14237.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14236","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14236.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14235","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14235.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14234","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14234.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14233","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14233.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14232","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14232.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14231","Canon","cvelistV5/cves/2025/14xxx/CVE-2025-14231.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9904","Canon","cvelistV5/cves/2025/9xxx/CVE-2025-9904.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9903","Canon","cvelistV5/cves/2025/9xxx/CVE-2025-9903.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
