"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-1433","Canon_EMEA","cvelistV5/cves/2026/1xxx/CVE-2026-1433.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1433","Canon_EMEA","cvelistV5/cves/2026/1xxx/CVE-2026-1433.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11843","Canon_EMEA","cvelistV5/cves/2025/11xxx/CVE-2025-11843.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11843","Canon_EMEA","cvelistV5/cves/2025/11xxx/CVE-2025-11843.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5995","Canon_EMEA","cvelistV5/cves/2025/5xxx/CVE-2025-5995.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5995","Canon_EMEA","cvelistV5/cves/2025/5xxx/CVE-2025-5995.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1621","Canon_EMEA","cvelistV5/cves/2024/1xxx/CVE-2024-1621.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1621","Canon_EMEA","cvelistV5/cves/2024/1xxx/CVE-2024-1621.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1578","Canon_EMEA","cvelistV5/cves/2024/1xxx/CVE-2024-1578.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1578","Canon_EMEA","cvelistV5/cves/2024/1xxx/CVE-2024-1578.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1578","Canon_EMEA","cvelistV5/cves/2024/1xxx/CVE-2024-1578.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
