"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-11975","Checkmarx","cvelistV5/cves/2026/11xxx/CVE-2026-11975.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9591","Checkmarx","cvelistV5/cves/2026/9xxx/CVE-2026-9591.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6050","Checkmarx","cvelistV5/cves/2025/6xxx/CVE-2025-6050.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3261","Checkmarx","cvelistV5/cves/2025/3xxx/CVE-2025-3261.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0825","Checkmarx","cvelistV5/cves/2025/0xxx/CVE-2025-0825.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8374","Checkmarx","cvelistV5/cves/2024/8xxx/CVE-2024-8374.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5685","Checkmarx","cvelistV5/cves/2024/5xxx/CVE-2024-5685.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-5685","Checkmarx","cvelistV5/cves/2024/5xxx/CVE-2024-5685.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4068","Checkmarx","cvelistV5/cves/2024/4xxx/CVE-2024-4068.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4067","Checkmarx","cvelistV5/cves/2024/4xxx/CVE-2024-4067.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2019-25225","Checkmarx","cvelistV5/cves/2019/25xxx/CVE-2019-25225.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2018-25110","Checkmarx","cvelistV5/cves/2018/25xxx/CVE-2018-25110.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2018-25110","Checkmarx","cvelistV5/cves/2018/25xxx/CVE-2018-25110.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2014-125128","Checkmarx","cvelistV5/cves/2014/125xxx/CVE-2014-125128.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2014-125127","Checkmarx","cvelistV5/cves/2014/125xxx/CVE-2014-125127.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
