"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-10022","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10022.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10022","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10022.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10021","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10021.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10021","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10021.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10020","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10020.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10020","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10020.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10019","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10019.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10019","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10019.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10018","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10018.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10018","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10018.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10017","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10017.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10017","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10017.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10016","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10016.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10016","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10016.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10015","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10015.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10015","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10015.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10014","Chrome","cvelistV5/cves/2026/10xxx/CVE-2026-10014.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
