"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-12101","Citrix","cvelistV5/cves/2025/12xxx/CVE-2025-12101.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8424","Citrix","cvelistV5/cves/2025/8xxx/CVE-2025-8424.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7776","Citrix","cvelistV5/cves/2025/7xxx/CVE-2025-7776.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7775","Citrix","cvelistV5/cves/2025/7xxx/CVE-2025-7775.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6759","Citrix","cvelistV5/cves/2025/6xxx/CVE-2025-6759.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-6543","Citrix","cvelistV5/cves/2025/6xxx/CVE-2025-6543.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5777","Citrix","cvelistV5/cves/2025/5xxx/CVE-2025-5777.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-5349","Citrix","cvelistV5/cves/2025/5xxx/CVE-2025-5349.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4879","Citrix","cvelistV5/cves/2025/4xxx/CVE-2025-4879.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4365","Citrix","cvelistV5/cves/2025/4xxx/CVE-2025-4365.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1223","Citrix","cvelistV5/cves/2025/1xxx/CVE-2025-1223.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1222","Citrix","cvelistV5/cves/2025/1xxx/CVE-2025-1222.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0320","Citrix","cvelistV5/cves/2025/0xxx/CVE-2025-0320.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-12284","Citrix","cvelistV5/cves/2024/12xxx/CVE-2024-12284.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8535","Citrix","cvelistV5/cves/2024/8xxx/CVE-2024-8535.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8534","Citrix","cvelistV5/cves/2024/8xxx/CVE-2024-8534.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8069","Citrix","cvelistV5/cves/2024/8xxx/CVE-2024-8069.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8068","Citrix","cvelistV5/cves/2024/8xxx/CVE-2024-8068.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7890","Citrix","cvelistV5/cves/2024/7xxx/CVE-2024-7890.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-7889","Citrix","cvelistV5/cves/2024/7xxx/CVE-2024-7889.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6677","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6677.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6286","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6286.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6236","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6236.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6235","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6235.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6151","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6151.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6150","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6150.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6149","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6149.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6148","Citrix","cvelistV5/cves/2024/6xxx/CVE-2024-6148.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5661","Citrix","cvelistV5/cves/2024/5xxx/CVE-2024-5661.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5492","Citrix","cvelistV5/cves/2024/5xxx/CVE-2024-5492.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-5491","Citrix","cvelistV5/cves/2024/5xxx/CVE-2024-5491.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-2049","Citrix","cvelistV5/cves/2024/2xxx/CVE-2024-2049.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24492","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24492.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-24492","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24492.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24491","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24491.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24491","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24491.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-24490","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24490.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-24490","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24490.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24489","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24489.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24488","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24488.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24487","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24487.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24487","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24487.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-24486","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24486.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24486","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24486.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-24485","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24485.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-24485","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24485.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24484","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24484.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-24484","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24484.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-24483","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24483.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-24483","Citrix","cvelistV5/cves/2023/24xxx/CVE-2023-24483.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6549","Citrix","cvelistV5/cves/2023/6xxx/CVE-2023-6549.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6548","Citrix","cvelistV5/cves/2023/6xxx/CVE-2023-6548.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6184","Citrix","cvelistV5/cves/2023/6xxx/CVE-2023-6184.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5914","Citrix","cvelistV5/cves/2023/5xxx/CVE-2023-5914.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5914","Citrix","cvelistV5/cves/2023/5xxx/CVE-2023-5914.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-4967","Citrix","cvelistV5/cves/2023/4xxx/CVE-2023-4967.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-4966","Citrix","cvelistV5/cves/2023/4xxx/CVE-2023-4966.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3519","Citrix","cvelistV5/cves/2023/3xxx/CVE-2023-3519.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3467","Citrix","cvelistV5/cves/2023/3xxx/CVE-2023-3467.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-3467","Citrix","cvelistV5/cves/2023/3xxx/CVE-2023-3467.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3466","Citrix","cvelistV5/cves/2023/3xxx/CVE-2023-3466.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3466","Citrix","cvelistV5/cves/2023/3xxx/CVE-2023-3466.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-27518","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27518.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27516","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27516.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27516","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27516.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-27513","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27513.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27513","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27513.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-27512","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27512.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27512","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27512.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27512","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27512.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27511","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27511.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27511","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27511.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27511","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27511.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27510","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27510.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27510","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27510.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-27509","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27509.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27509","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27509.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27509","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27509.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27509","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27509.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27508","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27508.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27507","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27507","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27507","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27507","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27507","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27507.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-27507","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27507.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-27506","Citrix","cvelistV5/cves/2022/27xxx/CVE-2022-27506.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
