"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9089","ConnectWise","cvelistV5/cves/2026/9xxx/CVE-2026-9089.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6066","ConnectWise","cvelistV5/cves/2026/6xxx/CVE-2026-6066.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3564","ConnectWise","cvelistV5/cves/2026/3xxx/CVE-2026-3564.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0696","ConnectWise","cvelistV5/cves/2026/0xxx/CVE-2026-0696.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0695","ConnectWise","cvelistV5/cves/2026/0xxx/CVE-2026-0695.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14823","ConnectWise","cvelistV5/cves/2025/14xxx/CVE-2025-14823.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14265","ConnectWise","cvelistV5/cves/2025/14xxx/CVE-2025-14265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11493","ConnectWise","cvelistV5/cves/2025/11xxx/CVE-2025-11493.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11492","ConnectWise","cvelistV5/cves/2025/11xxx/CVE-2025-11492.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7204","ConnectWise","cvelistV5/cves/2025/7xxx/CVE-2025-7204.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4876","ConnectWise","cvelistV5/cves/2025/4xxx/CVE-2025-4876.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3935","ConnectWise","cvelistV5/cves/2025/3xxx/CVE-2025-3935.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
