"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-13437","DEVOLUTIONS","cvelistV5/cves/2026/13xxx/CVE-2026-13437.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13437","DEVOLUTIONS","cvelistV5/cves/2026/13xxx/CVE-2026-13437.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13372","DEVOLUTIONS","cvelistV5/cves/2026/13xxx/CVE-2026-13372.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-13372","DEVOLUTIONS","cvelistV5/cves/2026/13xxx/CVE-2026-13372.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12755","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12755.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12755","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12755.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12162","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12162.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12162","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12162.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12161","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12161.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12161","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12161.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12117","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12117.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12117","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12117.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12105","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12105.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12105","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12105.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12105","DEVOLUTIONS","cvelistV5/cves/2026/12xxx/CVE-2026-12105.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11890","DEVOLUTIONS","cvelistV5/cves/2026/11xxx/CVE-2026-11890.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11890","DEVOLUTIONS","cvelistV5/cves/2026/11xxx/CVE-2026-11890.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11890","DEVOLUTIONS","cvelistV5/cves/2026/11xxx/CVE-2026-11890.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10787","DEVOLUTIONS","cvelistV5/cves/2026/10xxx/CVE-2026-10787.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10787","DEVOLUTIONS","cvelistV5/cves/2026/10xxx/CVE-2026-10787.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10787","DEVOLUTIONS","cvelistV5/cves/2026/10xxx/CVE-2026-10787.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10786","DEVOLUTIONS","cvelistV5/cves/2026/10xxx/CVE-2026-10786.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-10786","DEVOLUTIONS","cvelistV5/cves/2026/10xxx/CVE-2026-10786.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10786","DEVOLUTIONS","cvelistV5/cves/2026/10xxx/CVE-2026-10786.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
