"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-7891","DIVD","cvelistV5/cves/2026/7xxx/CVE-2026-7891.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36759","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36759.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36758","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36758.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36757","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36757.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36756","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36756.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36755","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36755.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36754","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36754.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36753","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36753.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36752","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36752.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36751","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36751.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36750","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36750.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36748","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36748.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36747","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36747.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36746","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36746.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36745","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36745.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36744","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36744.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36743","DIVD","cvelistV5/cves/2025/36xxx/CVE-2025-36743.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29757","DIVD","cvelistV5/cves/2025/29xxx/CVE-2025-29757.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-29756","DIVD","cvelistV5/cves/2025/29xxx/CVE-2025-29756.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-29756","DIVD","cvelistV5/cves/2025/29xxx/CVE-2025-29756.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22375","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22375.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22374","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22374.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22373","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22373.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-22373","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22373.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22372","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22372.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-22372","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22372.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22371","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22371.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-22371","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22371.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22371","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22371.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-22370","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22370.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22369","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22369.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22368","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22368.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22367","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22367.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-22366","DIVD","cvelistV5/cves/2025/22xxx/CVE-2025-22366.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43663","DIVD","cvelistV5/cves/2024/43xxx/CVE-2024-43663.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-43663","DIVD","cvelistV5/cves/2024/43xxx/CVE-2024-43663.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-43662","DIVD","cvelistV5/cves/2024/43xxx/CVE-2024-43662.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
