"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-64125","Dragos","cvelistV5/cves/2025/64xxx/CVE-2025-64125.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-53696","Dragos","cvelistV5/cves/2025/53xxx/CVE-2025-53696.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-53695","Dragos","cvelistV5/cves/2025/53xxx/CVE-2025-53695.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7676","Dragos","cvelistV5/cves/2025/7xxx/CVE-2025-7676.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45794","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45794.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-45793","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45793.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45792","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45792.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.8.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-45790","Dragos","cvelistV5/cves/2022/45xxx/CVE-2022-45790.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
