CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2026-21620,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2026/21xxx/CVE-2026-21620.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/tftp@1.2.4"
CVE-2026-21620,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2026/21xxx/CVE-2026-21620.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/tftp@1.2.2.1"
CVE-2026-21620,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2026/21xxx/CVE-2026-21620.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/tftp@1.1.1.1"
CVE-2025-48041,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48041.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.1.4.12"
CVE-2025-48041,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48041.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.2.11.3"
CVE-2025-48041,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48041.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.3.3"
CVE-2025-48040,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48040.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.3.3"
CVE-2025-48040,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48040.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.1.4.12"
CVE-2025-48040,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48040.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.2.11.3"
CVE-2025-48039,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48039.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.1.4.12"
CVE-2025-48039,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48039.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.2.11.3"
CVE-2025-48039,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48039.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.3.3"
CVE-2025-48038,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48038.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.1.4.12"
CVE-2025-48038,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48038.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.2.11.3"
CVE-2025-48038,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48038.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/ssh@5.3.3"
CVE-2025-4748,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/4xxx/CVE-2025-4748.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/stdlib@7.0.1"
CVE-2025-4748,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/4xxx/CVE-2025-4748.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/stdlib@5.2.3.4"
CVE-2025-4748,EEF,/home/runner/.cache/cvelint/cvelistV5/cves/2025/4xxx/CVE-2025-4748.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.changes.#.at,Invalid version string: "pkg:otp/stdlib@6.2.2.1"
