"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-25660","ERIC","cvelistV5/cves/2026/25xxx/CVE-2026-25660.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-25659","ERIC","cvelistV5/cves/2026/25xxx/CVE-2026-25659.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-25658","ERIC","cvelistV5/cves/2026/25xxx/CVE-2026-25658.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-25657","ERIC","cvelistV5/cves/2026/25xxx/CVE-2026-25657.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59174","ERIC","cvelistV5/cves/2025/59xxx/CVE-2025-59174.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59174","ERIC","cvelistV5/cves/2025/59xxx/CVE-2025-59174.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-40843","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40843.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-40842","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40842.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-40842","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40842.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-40841","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40841.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-40841","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40841.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-40838","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40838.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-40837","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40837.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-40836","ERIC","cvelistV5/cves/2025/40xxx/CVE-2025-40836.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27262","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27262.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27261","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27261.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27260","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27260.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-27260","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27260.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27259","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27259.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-27259","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27259.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-27258","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27258.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-27258","ERIC","cvelistV5/cves/2025/27xxx/CVE-2025-27258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-1300","ERIC","cvelistV5/cves/2025/1xxx/CVE-2025-1300.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0636","ERIC","cvelistV5/cves/2025/0xxx/CVE-2025-0636.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0636","ERIC","cvelistV5/cves/2025/0xxx/CVE-2025-0636.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-0636","ERIC","cvelistV5/cves/2025/0xxx/CVE-2025-0636.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53829","ERIC","cvelistV5/cves/2024/53xxx/CVE-2024-53829.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53828","ERIC","cvelistV5/cves/2024/53xxx/CVE-2024-53828.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-53827","ERIC","cvelistV5/cves/2024/53xxx/CVE-2024-53827.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25011","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25011.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25011","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25011.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25011","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25011.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25010","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25010.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25009","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25009.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25009","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25009.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25008","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25008.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25008","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25008.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25008","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25008.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25007","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25007.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-25007","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25007.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-25007","ERIC","cvelistV5/cves/2024/25xxx/CVE-2024-25007.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-10082","ERIC","cvelistV5/cves/2024/10xxx/CVE-2024-10082.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-10081","ERIC","cvelistV5/cves/2024/10xxx/CVE-2024-10081.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
