"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-22619","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22619.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22619","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22619.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22618","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22618.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22618","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22618.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22617","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22617.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22617","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22617.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22616","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22616.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22616","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22616.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22615","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22615.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22615","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22615.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22614","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22614.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22614","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22614.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-22613","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22613.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22613","Eaton","cvelistV5/cves/2026/22xxx/CVE-2026-22613.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-67450","Eaton","cvelistV5/cves/2025/67xxx/CVE-2025-67450.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-67450","Eaton","cvelistV5/cves/2025/67xxx/CVE-2025-67450.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59890","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59890.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59890","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59890.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59889","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59889.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59889","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59889.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59888","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59888.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59888","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59888.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59887","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59887.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59887","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59887.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59886","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59886.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59886","Eaton","cvelistV5/cves/2025/59xxx/CVE-2025-59886.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
