"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2022-28872","F-SecureUS","cvelistV5/cves/2022/28xxx/CVE-2022-28872.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-28870","F-SecureUS","cvelistV5/cves/2022/28xxx/CVE-2022-28870.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-28869","F-SecureUS","cvelistV5/cves/2022/28xxx/CVE-2022-28869.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-28868","F-SecureUS","cvelistV5/cves/2022/28xxx/CVE-2022-28868.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44751","F-SecureUS","cvelistV5/cves/2021/44xxx/CVE-2021-44751.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44749","F-SecureUS","cvelistV5/cves/2021/44xxx/CVE-2021-44749.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-44748","F-SecureUS","cvelistV5/cves/2021/44xxx/CVE-2021-44748.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40835","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40835.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40834","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40834.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40831","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40831.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40831","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40831.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40831","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40831.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40831","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40831.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40830","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40830.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40830","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40830.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40830","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40830.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-40830","F-SecureUS","cvelistV5/cves/2021/40xxx/CVE-2021-40830.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
