"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9157","FSI","cvelistV5/cves/2026/9xxx/CVE-2026-9157.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15070","FSI","cvelistV5/cves/2025/15xxx/CVE-2025-15070.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15069","FSI","cvelistV5/cves/2025/15xxx/CVE-2025-15069.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15068","FSI","cvelistV5/cves/2025/15xxx/CVE-2025-15068.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15067","FSI","cvelistV5/cves/2025/15xxx/CVE-2025-15067.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15066","FSI","cvelistV5/cves/2025/15xxx/CVE-2025-15066.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-15065","FSI","cvelistV5/cves/2025/15xxx/CVE-2025-15065.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11221","FSI","cvelistV5/cves/2025/11xxx/CVE-2025-11221.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11182","FSI","cvelistV5/cves/2025/11xxx/CVE-2025-11182.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11020","FSI","cvelistV5/cves/2025/11xxx/CVE-2025-11020.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-11020","FSI","cvelistV5/cves/2025/11xxx/CVE-2025-11020.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-7672","FSI","cvelistV5/cves/2025/7xxx/CVE-2025-7672.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3621","FSI","cvelistV5/cves/2025/3xxx/CVE-2025-3621.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11071","FSI","cvelistV5/cves/2024/11xxx/CVE-2024-11071.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11071","FSI","cvelistV5/cves/2024/11xxx/CVE-2024-11071.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11071","FSI","cvelistV5/cves/2024/11xxx/CVE-2024-11071.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11071","FSI","cvelistV5/cves/2024/11xxx/CVE-2024-11071.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-11071","FSI","cvelistV5/cves/2024/11xxx/CVE-2024-11071.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
