"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-2636","Fortra","cvelistV5/cves/2026/2xxx/CVE-2026-2636.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1089","Fortra","cvelistV5/cves/2026/1xxx/CVE-2026-1089.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0972","Fortra","cvelistV5/cves/2026/0xxx/CVE-2026-0972.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0971","Fortra","cvelistV5/cves/2026/0xxx/CVE-2026-0971.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14362","Fortra","cvelistV5/cves/2025/14xxx/CVE-2025-14362.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13532","Fortra","cvelistV5/cves/2025/13xxx/CVE-2025-13532.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10035","Fortra","cvelistV5/cves/2025/10xxx/CVE-2025-10035.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8450","Fortra","cvelistV5/cves/2025/8xxx/CVE-2025-8450.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8148","Fortra","cvelistV5/cves/2025/8xxx/CVE-2025-8148.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8148","Fortra","cvelistV5/cves/2025/8xxx/CVE-2025-8148.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-5141","Fortra","cvelistV5/cves/2025/5xxx/CVE-2025-5141.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
