"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-5943","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5943.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5942","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5942.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5941","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5941.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5940","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5940.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5939","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5939.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5938","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5938.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5937","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5937.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-5936","Foxit","cvelistV5/cves/2026/5xxx/CVE-2026-5936.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4947","Foxit","cvelistV5/cves/2026/4xxx/CVE-2026-4947.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3780","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3780.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3779","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3779.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3778","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3778.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3777","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3777.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3776","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3776.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3775","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3775.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3774","Foxit","cvelistV5/cves/2026/3xxx/CVE-2026-3774.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1592","Foxit","cvelistV5/cves/2026/1xxx/CVE-2026-1592.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1591","Foxit","cvelistV5/cves/2026/1xxx/CVE-2026-1591.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
