"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-33381","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33381.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33381","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33381.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33381","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33381.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33381","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33381.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33381","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33381.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33381","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33381.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33380","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33380","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33380","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33380","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33380.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33380","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33380","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33378","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33378.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33378","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33378.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33378","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33378.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33378","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33378.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33378","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33378.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33378","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33378.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33377","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33377.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33377","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33377.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33377","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33377.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33377","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33377.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33377","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33377.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33377","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33377.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33376","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33376.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33376","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33376.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-33376","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33376.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33376","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33376.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33376","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33376.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33376","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33376.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-33375","GRAFANA","cvelistV5/cves/2026/33xxx/CVE-2026-33375.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28383","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28383.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28383","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28383.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28383","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28383.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28383","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28383.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28383","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28383.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28383","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28383.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28380","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28380","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28380.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-28380","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28380","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28380","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28380","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28380.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28379","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28379.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28379","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28379.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-28379","GRAFANA","cvelistV5/cves/2026/28xxx/CVE-2026-28379.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
