CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-48430,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48430.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.00.3831 (MR8)"
CVE-2025-48430,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48430.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.30.2482 (MR2)"
CVE-2025-48430,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48430.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.20.2819 (MR4)"
CVE-2025-48430,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48430.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.10.3672 (MR7)"
CVE-2025-48428,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48428.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.20.2819 (MR4)"
CVE-2025-48428,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48428.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.10.3672 (MR7)"
CVE-2025-48428,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/48xxx/CVE-2025-48428.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.00.3831 (MR8)"
CVE-2025-47699,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/47xxx/CVE-2025-47699.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.00.3831 (MR8)"
CVE-2025-47699,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/47xxx/CVE-2025-47699.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.10.3672 (MR7"
CVE-2025-47699,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/47xxx/CVE-2025-47699.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.20.2819 (MR4)"
CVE-2025-47699,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/47xxx/CVE-2025-47699.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.30.2482 (MR2)"
CVE-2025-46406,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46406.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.20.2337 (MR3)"
CVE-2025-46406,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46406.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.00.3371 (MR7)"
CVE-2025-46406,Gallagher,/home/runner/.cache/cvelint/cvelistV5/cves/2025/46xxx/CVE-2025-46406.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.lessThan,Invalid version string: "9.10.3194 (MR6)"
