CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2024-4141,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2024/4xxx/CVE-2024-4141.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-3900,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2024/3xxx/CVE-2024-3900.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-3248,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2024/3xxx/CVE-2024-3248.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-3247,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2024/3xxx/CVE-2024-3247.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2024-2971,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2024/2xxx/CVE-2024-2971.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-3436,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3436.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-3044,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2023/3xxx/CVE-2023-3044.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-2664,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2023/2xxx/CVE-2023-2664.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-2663,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2023/2xxx/CVE-2023-2663.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-2662,GandC,/home/runner/.cache/cvelint/cvelistV5/cves/2023/2xxx/CVE-2023-2662.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
