CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "<5.8.2.1"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.8.2.1"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.9.0.0 <5.9.5.8"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.9.5.8"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.10.0.0 <5.10.4.23"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.10.4.23"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.11.0.0 <5.11.3.13"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.11.3.13"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.12.0.0 <5.12.1.3"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.12.1.3 <5.12.2.0"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.12.2.0 <5.12.2.1"
CVE-2024-7059,Genetec,/home/runner/.cache/cvelint/cvelistV5/cves/2024/7xxx/CVE-2024-7059.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: ">=5.12.2.1"
