"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-12635","GitLab","cvelistV5/cves/2026/12xxx/CVE-2026-12635.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-12053","GitLab","cvelistV5/cves/2026/12xxx/CVE-2026-12053.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11968","GitLab","cvelistV5/cves/2026/11xxx/CVE-2026-11968.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11950","GitLab","cvelistV5/cves/2026/11xxx/CVE-2026-11950.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-11379","GitLab","cvelistV5/cves/2026/11xxx/CVE-2026-11379.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10746","GitLab","cvelistV5/cves/2026/10xxx/CVE-2026-10746.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10733","GitLab","cvelistV5/cves/2026/10xxx/CVE-2026-10733.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10712","GitLab","cvelistV5/cves/2026/10xxx/CVE-2026-10712.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10238","GitLab","cvelistV5/cves/2026/10xxx/CVE-2026-10238.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10087","GitLab","cvelistV5/cves/2026/10xxx/CVE-2026-10087.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-10086","GitLab","cvelistV5/cves/2026/10xxx/CVE-2026-10086.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9807","GitLab","cvelistV5/cves/2026/9xxx/CVE-2026-9807.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9759","GitLab","cvelistV5/cves/2026/9xxx/CVE-2026-9759.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9758","GitLab","cvelistV5/cves/2026/9xxx/CVE-2026-9758.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9694","GitLab","cvelistV5/cves/2026/9xxx/CVE-2026-9694.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-9204","GitLab","cvelistV5/cves/2026/9xxx/CVE-2026-9204.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8716","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8716.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8680","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8680.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8589","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8589.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8399","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8399.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8330","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8330.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8317","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8317.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8280","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8280.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8144","GitLab","cvelistV5/cves/2026/8xxx/CVE-2026-8144.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7481","GitLab","cvelistV5/cves/2026/7xxx/CVE-2026-7481.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7471","GitLab","cvelistV5/cves/2026/7xxx/CVE-2026-7471.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7379","GitLab","cvelistV5/cves/2026/7xxx/CVE-2026-7379.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7378","GitLab","cvelistV5/cves/2026/7xxx/CVE-2026-7378.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7377","GitLab","cvelistV5/cves/2026/7xxx/CVE-2026-7377.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-7376","GitLab","cvelistV5/cves/2026/7xxx/CVE-2026-7376.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
