"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-20912","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20912.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20904","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20904.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20897","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20897.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20888","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20888.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20883","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20883.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20800","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20800.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20750","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20750.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-20736","Gitea","cvelistV5/cves/2026/20xxx/CVE-2026-20736.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0798","Gitea","cvelistV5/cves/2026/0xxx/CVE-2026-0798.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6886","Gitea","cvelistV5/cves/2024/6xxx/CVE-2024-6886.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
