"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-9739","Google","cvelistV5/cves/2026/9xxx/CVE-2026-9739.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9739","Google","cvelistV5/cves/2026/9xxx/CVE-2026-9739.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8369","Google","cvelistV5/cves/2026/8xxx/CVE-2026-8369.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-6409","Google","cvelistV5/cves/2026/6xxx/CVE-2026-6409.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4092","Google","cvelistV5/cves/2026/4xxx/CVE-2026-4092.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3223","Google","cvelistV5/cves/2026/3xxx/CVE-2026-3223.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2725","Google","cvelistV5/cves/2026/2xxx/CVE-2026-2725.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1837","Google","cvelistV5/cves/2026/1xxx/CVE-2026-1837.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1669","Google","cvelistV5/cves/2026/1xxx/CVE-2026-1669.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-1260","Google","cvelistV5/cves/2026/1xxx/CVE-2026-1260.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0994","Google","cvelistV5/cves/2026/0xxx/CVE-2026-0994.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-0994","Google","cvelistV5/cves/2026/0xxx/CVE-2026-0994.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-0897","Google","cvelistV5/cves/2026/0xxx/CVE-2026-0897.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62496","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62496.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62495","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62495.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62494","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62494.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62493","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62493.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62492","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62492.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62491","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62491.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62490","Google","cvelistV5/cves/2025/62xxx/CVE-2025-62490.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59734","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59734.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59734","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59734.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59733","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59733.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59733","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59733.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59732","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59732.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59732","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59732.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59731","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59731.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59731","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59731.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59730","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59730.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59730","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59730.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59729","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59729.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-59729","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59729.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59728","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59728.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59728","Google","cvelistV5/cves/2025/59xxx/CVE-2025-59728.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13437","Google","cvelistV5/cves/2025/13xxx/CVE-2025-13437.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13425","Google","cvelistV5/cves/2025/13xxx/CVE-2025-13425.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12474","Google","cvelistV5/cves/2025/12xxx/CVE-2025-12474.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12080","Google","cvelistV5/cves/2025/12xxx/CVE-2025-12080.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12060","Google","cvelistV5/cves/2025/12xxx/CVE-2025-12060.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12058","Google","cvelistV5/cves/2025/12xxx/CVE-2025-12058.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9951","Google","cvelistV5/cves/2025/9xxx/CVE-2025-9951.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9906","Google","cvelistV5/cves/2025/9xxx/CVE-2025-9906.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9905","Google","cvelistV5/cves/2025/9xxx/CVE-2025-9905.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8747","Google","cvelistV5/cves/2025/8xxx/CVE-2025-8747.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-8192","Google","cvelistV5/cves/2025/8xxx/CVE-2025-8192.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7709","Google","cvelistV5/cves/2025/7xxx/CVE-2025-7709.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
