"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-7428","GoogleCloud","cvelistV5/cves/2026/7xxx/CVE-2026-7428.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4810","GoogleCloud","cvelistV5/cves/2026/4xxx/CVE-2026-4810.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-4810","GoogleCloud","cvelistV5/cves/2026/4xxx/CVE-2026-4810.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-4810","GoogleCloud","cvelistV5/cves/2026/4xxx/CVE-2026-4810.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3259","GoogleCloud","cvelistV5/cves/2026/3xxx/CVE-2026-3259.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-3136","GoogleCloud","cvelistV5/cves/2026/3xxx/CVE-2026-3136.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2473","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2473.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2473","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2473.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2472","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2472.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2472","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2472.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2274","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2274.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2264","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2264.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2264","GoogleCloud","cvelistV5/cves/2026/2xxx/CVE-2026-2264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
