CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-36938,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36938.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36937,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36937.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36936,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36936.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36935,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36935.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36934,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36934.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36932,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36932.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36931,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36931.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36930,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36930.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36929,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36929.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36928,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36928.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36927,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36927.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36925,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36925.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36924,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36924.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36923,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36923.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36922,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36922.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36921,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36921.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36919,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36919.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36918,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36918.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36917,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36917.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36916,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36916.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36912,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36912.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36911,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36911.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36909,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36909.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36908,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36908.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36907,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36907.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36906,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36906.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36905,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36905.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36904,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36904.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36903,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36903.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36902,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36902.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36901,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36901.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36900,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36900.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36899,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36899.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36898,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36898.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36897,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36897.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36896,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36896.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36895,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36895.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36894,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36894.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36893,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36893.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36892,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36892.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36891,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36891.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36890,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36890.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36889,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36889.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-36887,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/36xxx/CVE-2025-36887.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-27701,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/27xxx/CVE-2025-27701.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2025-27700,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2025/27xxx/CVE-2025-27700.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56193,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56193.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56190,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56190.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56189,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56189.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56188,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56188.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56187,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56187.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56186,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56186.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56185,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56185.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-56184,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/56xxx/CVE-2024-56184.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
CVE-2024-53842,Google_Devices,/home/runner/.cache/cvelint/cvelistV5/cves/2024/53xxx/CVE-2024-53842.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Android kernel"
