CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-2271,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/2xxx/CVE-2025-2271.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Issuetrak 17.2.2 and prior"
CVE-2025-1135,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1135.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2025-1134,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1134.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2025-1133,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1133.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2025-1132,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1132.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2025-1131,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1131.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Asterisk <= 22.5.0"
CVE-2025-1131,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1131.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Asterisk <= 21.10.0"
CVE-2025-1131,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1131.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Asterisk <= 20.15.0"
CVE-2025-1131,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1131.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Asterisk <=18.26.2"
CVE-2025-1024,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1024.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2025-1023,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/1xxx/CVE-2025-1023.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2025-0981,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2025/0xxx/CVE-2025-0981.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "ChurchCRM 5.13.0 and prior"
CVE-2024-12123,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2024/12xxx/CVE-2024-12123.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Issuetrak 17.1"
CVE-2024-11479,Gridware,/home/runner/.cache/cvelint/cvelistV5/cves/2024/11xxx/CVE-2024-11479.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Issuetrak 17.1"
