"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-2255","HITVAN","cvelistV5/cves/2026/2xxx/CVE-2026-2255.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2254","HITVAN","cvelistV5/cves/2026/2xxx/CVE-2026-2254.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2253","HITVAN","cvelistV5/cves/2026/2xxx/CVE-2026-2253.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24911","HITVAN","cvelistV5/cves/2025/24xxx/CVE-2025-24911.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24910","HITVAN","cvelistV5/cves/2025/24xxx/CVE-2025-24910.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24909","HITVAN","cvelistV5/cves/2025/24xxx/CVE-2025-24909.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24908","HITVAN","cvelistV5/cves/2025/24xxx/CVE-2025-24908.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-24907","HITVAN","cvelistV5/cves/2025/24xxx/CVE-2025-24907.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11159","HITVAN","cvelistV5/cves/2025/11xxx/CVE-2025-11159.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11158","HITVAN","cvelistV5/cves/2025/11xxx/CVE-2025-11158.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9122","HITVAN","cvelistV5/cves/2025/9xxx/CVE-2025-9122.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-9121","HITVAN","cvelistV5/cves/2025/9xxx/CVE-2025-9121.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
