"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-24732","HW","cvelistV5/cves/2026/24xxx/CVE-2026-24732.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-58114","HW","cvelistV5/cves/2025/58xxx/CVE-2025-58114.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-57880","HW","cvelistV5/cves/2025/57xxx/CVE-2025-57880.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-48007","HW","cvelistV5/cves/2025/48xxx/CVE-2025-48007.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-46703","HW","cvelistV5/cves/2025/46xxx/CVE-2025-46703.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-42431","HW","cvelistV5/cves/2023/42xxx/CVE-2023-42431.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-42001","HW","cvelistV5/cves/2022/42xxx/CVE-2022-42001.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-42001","HW","cvelistV5/cves/2022/42xxx/CVE-2022-42001.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-42000","HW","cvelistV5/cves/2022/42xxx/CVE-2022-42000.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-42000","HW","cvelistV5/cves/2022/42xxx/CVE-2022-42000.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-41814","HW","cvelistV5/cves/2022/41xxx/CVE-2022-41814.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-41814","HW","cvelistV5/cves/2022/41xxx/CVE-2022-41814.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-41789","HW","cvelistV5/cves/2022/41xxx/CVE-2022-41789.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-41789","HW","cvelistV5/cves/2022/41xxx/CVE-2022-41789.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-41611","HW","cvelistV5/cves/2022/41xxx/CVE-2022-41611.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-41611","HW","cvelistV5/cves/2022/41xxx/CVE-2022-41611.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-3958","HW","cvelistV5/cves/2022/3xxx/CVE-2022-3958.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-3958","HW","cvelistV5/cves/2022/3xxx/CVE-2022-3958.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-3895","HW","cvelistV5/cves/2022/3xxx/CVE-2022-3895.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-3895","HW","cvelistV5/cves/2022/3xxx/CVE-2022-3895.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-3893","HW","cvelistV5/cves/2022/3xxx/CVE-2022-3893.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-3893","HW","cvelistV5/cves/2022/3xxx/CVE-2022-3893.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-2511","HW","cvelistV5/cves/2022/2xxx/CVE-2022-2511.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-2511","HW","cvelistV5/cves/2022/2xxx/CVE-2022-2511.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-2510","HW","cvelistV5/cves/2022/2xxx/CVE-2022-2510.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-2510","HW","cvelistV5/cves/2022/2xxx/CVE-2022-2510.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-2510","HW","cvelistV5/cves/2022/2xxx/CVE-2022-2510.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
