"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-2414","HYPR","cvelistV5/cves/2026/2xxx/CVE-2026-2414.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2414","HYPR","cvelistV5/cves/2026/2xxx/CVE-2026-2414.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1712","HYPR","cvelistV5/cves/2026/1xxx/CVE-2026-1712.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1712","HYPR","cvelistV5/cves/2026/1xxx/CVE-2026-1712.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2102","HYPR","cvelistV5/cves/2025/2xxx/CVE-2025-2102.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-0372","HYPR","cvelistV5/cves/2025/0xxx/CVE-2025-0372.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8273","HYPR","cvelistV5/cves/2024/8xxx/CVE-2024-8273.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1721","HYPR","cvelistV5/cves/2024/1xxx/CVE-2024-1721.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0070","HYPR","cvelistV5/cves/2024/0xxx/CVE-2024-0070.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0069","HYPR","cvelistV5/cves/2024/0xxx/CVE-2024-0069.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-0068","HYPR","cvelistV5/cves/2024/0xxx/CVE-2024-0068.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-0068","HYPR","cvelistV5/cves/2024/0xxx/CVE-2024-0068.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6336","HYPR","cvelistV5/cves/2023/6xxx/CVE-2023-6336.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6336","HYPR","cvelistV5/cves/2023/6xxx/CVE-2023-6336.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6335","HYPR","cvelistV5/cves/2023/6xxx/CVE-2023-6335.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-6335","HYPR","cvelistV5/cves/2023/6xxx/CVE-2023-6335.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6334","HYPR","cvelistV5/cves/2023/6xxx/CVE-2023-6334.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5097","HYPR","cvelistV5/cves/2023/5xxx/CVE-2023-5097.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-1837","HYPR","cvelistV5/cves/2023/1xxx/CVE-2023-1837.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-1837","HYPR","cvelistV5/cves/2023/1xxx/CVE-2023-1837.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-1477","HYPR","cvelistV5/cves/2023/1xxx/CVE-2023-1477.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-1477","HYPR","cvelistV5/cves/2023/1xxx/CVE-2023-1477.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-0834","HYPR","cvelistV5/cves/2023/0xxx/CVE-2023-0834.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-0834","HYPR","cvelistV5/cves/2023/0xxx/CVE-2023-0834.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-3258","HYPR","cvelistV5/cves/2022/3xxx/CVE-2022-3258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-2193","HYPR","cvelistV5/cves/2022/2xxx/CVE-2022-2193.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-2193","HYPR","cvelistV5/cves/2022/2xxx/CVE-2022-2193.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-2192","HYPR","cvelistV5/cves/2022/2xxx/CVE-2022-2192.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-2192","HYPR","cvelistV5/cves/2022/2xxx/CVE-2022-2192.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-2192","HYPR","cvelistV5/cves/2022/2xxx/CVE-2022-2192.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-1984","HYPR","cvelistV5/cves/2022/1xxx/CVE-2022-1984.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-1984","HYPR","cvelistV5/cves/2022/1xxx/CVE-2022-1984.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
