CVE,CNA,File,RuleName,ErrorCode,ErrorText
CVE-2025-52601,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/52xxx/CVE-2025-52601.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "prior to version 2.9.3.1"
CVE-2025-52600,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/52xxx/CVE-2025-52600.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Prior to version 2.22.05"
CVE-2025-52599,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/52xxx/CVE-2025-52599.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Prior to version 2.22.05"
CVE-2025-52598,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/52xxx/CVE-2025-52598.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Prior to version 2.22.05"
CVE-2025-8075,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2025/8xxx/CVE-2025-8075.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Prior to version 2.22.05"
CVE-2024-41887,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/41xxx/CVE-2024-41887.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.62 and prior versions"
CVE-2024-41886,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/41xxx/CVE-2024-41886.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.62 and prior versions"
CVE-2024-41885,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/41xxx/CVE-2024-41885.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.62 and prior versions"
CVE-2024-41884,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/41xxx/CVE-2024-41884.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.62 and prior versions"
CVE-2024-41883,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/41xxx/CVE-2024-41883.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.62 and prior versions"
CVE-2024-41882,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2024/41xxx/CVE-2024-41882.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.62 and prior versions"
CVE-2023-6116,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/6xxx/CVE-2023-6116.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-6116,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/6xxx/CVE-2023-6116.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "5.01.52 and prior versions"
CVE-2023-6096,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/6xxx/CVE-2023-6096.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-6096,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/6xxx/CVE-2023-6096.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "3.05.62 and prior versions"
CVE-2023-6095,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/6xxx/CVE-2023-6095.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "3.05.62 and prior versions"
CVE-2023-6095,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/6xxx/CVE-2023-6095.json,check-leading-trailing-space,E004,containers.cna.descriptions.0.value,Trailing or leading whitespace in description
CVE-2023-5038,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/5xxx/CVE-2023-5038.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Prior to version 1.41.16, Prior to version 2.22.00"
CVE-2023-5037,Hanwha_Vision,/home/runner/.cache/cvelint/cvelistV5/cves/2023/5xxx/CVE-2023-5037.json,check-invalid-version-string,E007,containers.cna.affected.#.versions.#.version,Invalid version string: "Prior to version 1.41.16;Prior to version 2.22.00;"
