"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-11998","HeroDevs","cvelistV5/cves/2026/11xxx/CVE-2026-11998.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2818","HeroDevs","cvelistV5/cves/2026/2xxx/CVE-2026-2818.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-2817","HeroDevs","cvelistV5/cves/2026/2xxx/CVE-2026-2817.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36855","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36855.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-36855","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36855.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2025-36855","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36855.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36854","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36854.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2025-36854","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36854.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36854","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36854.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-36853","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36853.json","check-cna-rules-v4-descriptions","E016","containers.cna.descriptions","CNA Rules v4.0 MUST: At least one English (en) description must be present for PUBLISHED records"
"CVE-2025-36853","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36853.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-36853","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36853.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-36852","HeroDevs","cvelistV5/cves/2025/36xxx/CVE-2025-36852.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14505","HeroDevs","cvelistV5/cves/2025/14xxx/CVE-2025-14505.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
