"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-3314","Hitachi","cvelistV5/cves/2026/3xxx/CVE-2026-3314.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3314","Hitachi","cvelistV5/cves/2026/3xxx/CVE-2026-3314.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-3314","Hitachi","cvelistV5/cves/2026/3xxx/CVE-2026-3314.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2072","Hitachi","cvelistV5/cves/2026/2xxx/CVE-2026-2072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-2072","Hitachi","cvelistV5/cves/2026/2xxx/CVE-2026-2072.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-1166","Hitachi","cvelistV5/cves/2026/1xxx/CVE-2026-1166.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66445","Hitachi","cvelistV5/cves/2025/66xxx/CVE-2025-66445.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66445","Hitachi","cvelistV5/cves/2025/66xxx/CVE-2025-66445.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66444","Hitachi","cvelistV5/cves/2025/66xxx/CVE-2025-66444.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-66444","Hitachi","cvelistV5/cves/2025/66xxx/CVE-2025-66444.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-65116","Hitachi","cvelistV5/cves/2025/65xxx/CVE-2025-65116.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-65116","Hitachi","cvelistV5/cves/2025/65xxx/CVE-2025-65116.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-65116","Hitachi","cvelistV5/cves/2025/65xxx/CVE-2025-65116.json","check-custom-version-type","E011","containers.cna.affected.8.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
