"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-31369","Honor","cvelistV5/cves/2026/31xxx/CVE-2026-31369.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-57840","Honor","cvelistV5/cves/2025/57xxx/CVE-2025-57840.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-57839","Honor","cvelistV5/cves/2025/57xxx/CVE-2025-57839.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-57838","Honor","cvelistV5/cves/2025/57xxx/CVE-2025-57838.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-57837","Honor","cvelistV5/cves/2025/57xxx/CVE-2025-57837.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2197","Honor","cvelistV5/cves/2025/2xxx/CVE-2025-2197.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-2188","Honor","cvelistV5/cves/2025/2xxx/CVE-2025-2188.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-1532","Honor","cvelistV5/cves/2025/1xxx/CVE-2025-1532.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47157","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47157.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47156","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47156.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47155","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47155.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47154","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47154.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47153","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47153.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47151","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47151.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47150","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47150.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47149","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47149.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-47148","Honor","cvelistV5/cves/2024/47xxx/CVE-2024-47148.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8994","Honor","cvelistV5/cves/2024/8xxx/CVE-2024-8994.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8993","Honor","cvelistV5/cves/2024/8xxx/CVE-2024-8993.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8992","Honor","cvelistV5/cves/2024/8xxx/CVE-2024-8992.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51435","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51435.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51435","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51435.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51434","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51434.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51434","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51434.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51433","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51433.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51433","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51433.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51432","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51432.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51432","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51432.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51431","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51431.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51431","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51431.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51430","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51430.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51430","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51430.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51429","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51429.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51429","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51429.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51428","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51428.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51428","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51428.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51427","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51427.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51427","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51427.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-51426","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51426.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-51426","Honor","cvelistV5/cves/2023/51xxx/CVE-2023-51426.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23443","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23443.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23443","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23443.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23442","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23442.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23442","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23442.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23441","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23441.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23441","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23441.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23440","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23440.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23440","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23440.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23439","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23439.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23439","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23439.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23438","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23438.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23438","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23438.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23437","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23437.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23437","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23437.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23436","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23436.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23436","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23436.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23435","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23435.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23435","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23435.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23434","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23434.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23434","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23434.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23433","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23433.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23433","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23433.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23432","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23432.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23432","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23432.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23431","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23431.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23431","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23431.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-23430","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23430.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-23430","Honor","cvelistV5/cves/2023/23xxx/CVE-2023-23430.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
