"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-15389","INCIBE","cvelistV5/cves/2026/15xxx/CVE-2026-15389.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12602","INCIBE","cvelistV5/cves/2026/12xxx/CVE-2026-12602.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11958","INCIBE","cvelistV5/cves/2026/11xxx/CVE-2026-11958.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9509","INCIBE","cvelistV5/cves/2026/9xxx/CVE-2026-9509.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9508","INCIBE","cvelistV5/cves/2026/9xxx/CVE-2026-9508.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.9.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.8.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.7.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8072","INCIBE","cvelistV5/cves/2026/8xxx/CVE-2026-8072.json","check-custom-version-type","E011","containers.cna.affected.0.versions.6.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7185","INCIBE","cvelistV5/cves/2026/7xxx/CVE-2026-7185.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-7185","INCIBE","cvelistV5/cves/2026/7xxx/CVE-2026-7185.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
