"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-12053","Insyde","cvelistV5/cves/2025/12xxx/CVE-2025-12053.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12052","Insyde","cvelistV5/cves/2025/12xxx/CVE-2025-12052.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12051","Insyde","cvelistV5/cves/2025/12xxx/CVE-2025-12051.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-12050","Insyde","cvelistV5/cves/2025/12xxx/CVE-2025-12050.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10451","Insyde","cvelistV5/cves/2025/10xxx/CVE-2025-10451.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4426","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4426.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4426","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4426.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4425","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4425.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4425","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4425.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4424","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4424.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4424","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4424.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4423","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4423.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4423","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4423.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4422","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4422.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4422","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4422.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4421","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4421.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4421","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4421.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4410","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4410.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4410","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4410.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.5.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.4.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4277","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4277.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-4276","Insyde","cvelistV5/cves/2025/4xxx/CVE-2025-4276.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
