"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-4649","KNIME","cvelistV5/cves/2026/4xxx/CVE-2026-4649.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-14262","KNIME","cvelistV5/cves/2025/14xxx/CVE-2025-14262.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11240","KNIME","cvelistV5/cves/2025/11xxx/CVE-2025-11240.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-11239","KNIME","cvelistV5/cves/2025/11xxx/CVE-2025-11239.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3019","KNIME","cvelistV5/cves/2025/3xxx/CVE-2025-3019.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2787","KNIME","cvelistV5/cves/2025/2xxx/CVE-2025-2787.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-2402","KNIME","cvelistV5/cves/2025/2xxx/CVE-2025-2402.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6598","KNIME","cvelistV5/cves/2024/6xxx/CVE-2024-6598.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-5562","KNIME","cvelistV5/cves/2023/5xxx/CVE-2023-5562.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-5562","KNIME","cvelistV5/cves/2023/5xxx/CVE-2023-5562.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-3140","KNIME","cvelistV5/cves/2023/3xxx/CVE-2023-3140.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2541","KNIME","cvelistV5/cves/2023/2xxx/CVE-2023-2541.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2540","KNIME","cvelistV5/cves/2023/2xxx/CVE-2023-2540.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2539","KNIME","cvelistV5/cves/2023/2xxx/CVE-2023-2539.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2537","KNIME","cvelistV5/cves/2023/2xxx/CVE-2023-2537.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2536","KNIME","cvelistV5/cves/2023/2xxx/CVE-2023-2536.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-2535","KNIME","cvelistV5/cves/2023/2xxx/CVE-2023-2535.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-44749","KNIME","cvelistV5/cves/2022/44xxx/CVE-2022-44749.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-44749","KNIME","cvelistV5/cves/2022/44xxx/CVE-2022-44749.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-44748","KNIME","cvelistV5/cves/2022/44xxx/CVE-2022-44748.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-44748","KNIME","cvelistV5/cves/2022/44xxx/CVE-2022-44748.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
