"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-62276","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62276.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62275","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62275.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62267","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62267.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62266","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62266.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62265","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62265.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62264","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62264.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62263","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62263.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62262","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62262.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62261","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62261.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62260","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62260.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62259","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62259.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62258","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62257","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62257.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62256","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62256.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62255","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62255.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62254","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62254.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62253","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62253.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-62252","Liferay","cvelistV5/cves/2025/62xxx/CVE-2025-62252.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
