"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-8258","Logitech","cvelistV5/cves/2024/8xxx/CVE-2024-8258.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8011","Logitech","cvelistV5/cves/2024/8xxx/CVE-2024-8011.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-8011","Logitech","cvelistV5/cves/2024/8xxx/CVE-2024-8011.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-8011","Logitech","cvelistV5/cves/2024/8xxx/CVE-2024-8011.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4031","Logitech","cvelistV5/cves/2024/4xxx/CVE-2024-4031.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-4031","Logitech","cvelistV5/cves/2024/4xxx/CVE-2024-4031.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-2537","Logitech","cvelistV5/cves/2024/2xxx/CVE-2024-2537.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-2537","Logitech","cvelistV5/cves/2024/2xxx/CVE-2024-2537.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2022-0916","Logitech","cvelistV5/cves/2022/0xxx/CVE-2022-0916.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-0916","Logitech","cvelistV5/cves/2022/0xxx/CVE-2022-0916.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2022-0915","Logitech","cvelistV5/cves/2022/0xxx/CVE-2022-0915.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-0915","Logitech","cvelistV5/cves/2022/0xxx/CVE-2022-0915.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
